"Story","Title","Result","Date","Stability","Duration (s)"
"Diet-friendly Smoothies","Dieting members should be proposed healthy alternatives","PENDING","2021-08-15T23:12:50.402155+12:00[Pacific/Auckland]","0.0","0.01"
"Diet-friendly Smoothies","Dieting members should be encouraged when they select a healthy option","PENDING","2021-08-15T23:12:50.419196+12:00[Pacific/Auckland]","0.0","0.01"
